C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,04/01/2015,00:00:00,REGULAR,0004378149,0006024382                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,04/01/2015,04:00:00,REGULAR,0004378173,0006024399                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,04/01/2015,08:00:00,REGULAR,0004378220,0006024781                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,04/01/2015,12:00:00,REGULAR,0004378432,0006025586                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,04/01/2015,16:00:00,REGULAR,0004378763,0006025889                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,04/01/2015,20:00:00,REGULAR,0004379419,0006026409                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,04/02/2015,00:00:00,REGULAR,0004379668,0006026625                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,04/02/2015,04:00:00,REGULAR,0004379694,0006026645                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,04/02/2015,08:00:00,REGULAR,0004379740,0006027028                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,04/02/2015,12:00:00,REGULAR,0004379927,0006027904                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,04/02/2015,16:00:00,REGULAR,0004380238,0006028271                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,04/02/2015,20:00:00,REGULAR,0004380867,0006028775                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,04/03/2015,00:00:00,REGULAR,0004381137,0006028983                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,04/03/2015,04:00:00,REGULAR,0004381158,0006029007                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,04/03/2015,08:00:00,REGULAR,0004381207,0006029341                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,04/03/2015,12:00:00,REGULAR,0004381376,0006030007                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,04/03/2015,16:00:00,REGULAR,0004381696,0006030384                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,04/03/2015,20:00:00,REGULAR,0004382213,0006030765                                     
A002,R051,02-03-03,LEXINGTON AVE,NQR456,BMT,03/28/2015,00:00:00,REGULAR,0004012850,0004900907                                     
